timestamp,location,temperature,energy_consumption
2024-01-01 00:00:00,Chennai,21.1,42.27
2024-01-01 01:00:00,Salem,20.8,41.64
2024-01-01 02:00:00,Madurai,21.7,41.88
2024-01-01 03:00:00,Coimbatore,19.6,43.51
2024-01-01 04:00:00,Coimbatore,20.9,42.29
2024-01-01 05:00:00,Salem,23.5,43.99
2024-01-01 06:00:00,Chennai,27.7,69.5
2024-01-01 07:00:00,Madurai,26.1,66.08
2024-01-01 08:00:00,Chennai,28.3,82.54
2024-01-01 09:00:00,Chennai,31.9,92.79
2024-01-01 10:00:00,Madurai,29.8,86.16
2024-01-01 11:00:00,Salem,27.6,71.85
2024-01-01 12:00:00,Madurai,31.5,103.86
2024-01-01 13:00:00,Salem,29.9,82.36
2024-01-01 14:00:00,Madurai,28.5,91.06
2024-01-01 15:00:00,Salem,28.3,75.7
2024-01-01 16:00:00,Madurai,29.4,86.88
2024-01-01 17:00:00,Chennai,28.7,81.64
2024-01-01 18:00:00,Salem,25.3,59.83
2024-01-01 19:00:00,Coimbatore,20.5,56.96
2024-01-01 20:00:00,Madurai,23.9,63.3
2024-01-01 21:00:00,Coimbatore,19.6,48.29
2024-01-01 22:00:00,Chennai,22.1,58.61
2024-01-01 23:00:00,Salem,20.7,40.19
2024-01-02 00:00:00,Salem,21.3,39.51
2024-01-02 01:00:00,Madurai,23.3,40.27
2024-01-02 02:00:00,Coimbatore,20.8,46.57
2024-01-02 03:00:00,Salem,20.8,35.45
2024-01-02 04:00:00,Madurai,23.9,44.43
2024-01-02 05:00:00,Coimbatore,23.1,41.28
2024-01-02 06:00:00,Coimbatore,23.6,59.32
2024-01-02 07:00:00,Chennai,28.5,81.56
2024-01-02 08:00:00,Chennai,30.5,86.98
2024-01-02 09:00:00,Madurai,29.5,88.24
2024-01-02 10:00:00,Salem,28.0,76.65
2024-01-02 11:00:00,Chennai,31.3,106.0
2024-01-02 12:00:00,Salem,30.3,77.63
2024-01-02 13:00:00,Salem,29.3,79.74
2024-01-02 14:00:00,Coimbatore,28.2,77.07
2024-01-02 15:00:00,Madurai,30.3,81.98
2024-01-02 16:00:00,Chennai,29.1,94.13
2024-01-02 17:00:00,Salem,26.7,67.45
2024-01-02 18:00:00,Madurai,26.5,75.42
2024-01-02 19:00:00,Coimbatore,20.7,65.56
2024-01-02 20:00:00,Chennai,26.2,67.59
2024-01-02 21:00:00,Salem,20.4,43.72
2024-01-02 22:00:00,Coimbatore,17.2,43.55
2024-01-02 23:00:00,Salem,18.4,41.57
2024-01-03 00:00:00,Madurai,19.8,37.73
2024-01-03 01:00:00,Salem,19.7,30.99
2024-01-03 02:00:00,Salem,19.8,39.24
2024-01-03 03:00:00,Chennai,23.1,50.91
2024-01-03 04:00:00,Coimbatore,21.7,34.32
2024-01-03 05:00:00,Coimbatore,22.6,41.22
2024-01-03 06:00:00,Coimbatore,23.9,56.01
2024-01-03 07:00:00,Chennai,28.8,80.85
2024-01-03 08:00:00,Madurai,29.2,76.1
2024-01-03 09:00:00,Chennai,28.0,82.76
2024-01-03 10:00:00,Madurai,29.9,87.03
2024-01-03 11:00:00,Madurai,28.2,86.16
2024-01-03 12:00:00,Salem,29.5,75.82
2024-01-03 13:00:00,Madurai,30.8,89.24
2024-01-03 14:00:00,Coimbatore,29.1,82.9
2024-01-03 15:00:00,Salem,29.5,79.92
2024-01-03 16:00:00,Coimbatore,26.2,72.89
2024-01-03 17:00:00,Coimbatore,24.2,57.61
2024-01-03 18:00:00,Salem,25.1,62.41
2024-01-03 19:00:00,Coimbatore,21.6,60.48
2024-01-03 20:00:00,Chennai,24.5,65.51
2024-01-03 21:00:00,Coimbatore,21.2,47.96
2024-01-03 22:00:00,Salem,19.5,40.69
2024-01-03 23:00:00,Chennai,23.1,46.28
2024-01-04 00:00:00,Coimbatore,19.3,34.71
2024-01-04 01:00:00,Chennai,21.0,50.55
2024-01-04 02:00:00,Madurai,22.8,41.53
2024-01-04 03:00:00,Coimbatore,20.8,35.83
2024-01-04 04:00:00,Coimbatore,21.1,40.53
2024-01-04 05:00:00,Chennai,24.8,59.48
